"Country","Breed","Species"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Borgou","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Zebu","BI"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","Lagunaire","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","NDama","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"AF","Somba","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
