individual,ecotype,long,lat,ann_mean_temp,mean_diurnal_range,temp_seasonality,max_temp_warmest_month,min_temp_coldest_month,ann_precip,precip_seasonality,precip_coldest_quarter,land_cover,ndvi,elev,percent_tree_cover
11226.CEL,Pop_2_BorealForest,-94.45,49.81,23,97,13047,253,-229,610,47,76,8,7403,349,36
11228.CEL,Pop_6_AtlanticForest,-88.11,49.08,15,115,11408,233,-228,784,29,142,5,8222,234,51
11232_CLU_NQUE-I,Pop_6_AtlanticForest,-72.012857,58.756188,-69,75,11831,130,-286,483,39,70,7,6450,264,5
11234_CLU_NQUE-I,Pop_6_AtlanticForest,-71.981011,58.601851,-66,76,11867,135,-284,477,40,70,7,6141,200,9
2042_CLU_CANADA-FBG,Pop_2_BorealForest,-114.833,60.583,-34,102,14259,207,-299,335,39,56,7,7595,194,26
2043_CLU_CANADA-FG,Pop_2_BorealForest,-117.033,60.95,-37,114,14806,223,-308,319,34,58,1,7518,219,48
2048_CLU_CANADA-FW,Pop_2_BorealForest,-121.217,61.25,-35,112,15176,229,-305,372,43,57,1,7472,280,47
2049_CLU_CANADA-FW,Pop_2_BorealForest,-123.417,63.217,-47,99,15844,228,-313,339,48,52,1,8157,154,61
2052_CLU_CANADA-FW,Pop_2_BorealForest,-117.467,62.133,-46,109,15312,223,-320,284,36,54,1,7348,190,61
2056_CLU_CANADA-FG,Pop_2_BorealForest,-111.883,59,-20,115,14099,226,-295,375,46,56,1,6616,222,47
2131_CLU_CANADA-TuG,Pop_2_BorealForest,-118.103784,66.965266,-89,78,14089,149,-321,231,52,33,7,6441,314,0
2144_CLU_CANADA-TuW,Pop_2_BorealForest,-117.969887,67.117182,-92,79,14050,147,-323,226,54,31,7,6810,287,0
2363_CLU_CANADA-TaW,Pop_2_BorealForest,-123.097408,65.024448,-67,91,15359,200,-318,290,47,40,7,6353,167,13
3132_CLU_CANADA-FG,Pop_2_BorealForest,-126.117,67.033,-92,90,14958,174,-323,247,52,35,7,7192,244,28
3757_CLU_BC,Pop_5_BritishColumbia,-124.25,49.08,75,84,5140,213,-18,1749,62,750,1,9014,556,74
