X,Y,Env,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100
527827.2595,4935962.762,0,0,1,0,1,0,1,1,2,1,2,0,2,1,0,0,1,0,0,2,2,1,1,1,1,1,2,0,1,0,0,2,1,2,1,0,2,1,0,0,2,1,2,1,2,2,0,1,2,0,2,1,1,1,1,2,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,2,2,2,2,1,0,1,1,0,2,1,2,2,2,0,0,1,2,2,1,1,0,2,0,2,1,2
524550.8669,4962241.774,5,2,2,1,0,2,1,2,2,0,1,0,0,2,0,2,1,2,1,1,2,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,2,0,1,1,2,1,2,1,1,0,2,2,1,0,0,1,1,1,2,1,1,2,2,0,0,2,1,1,1,0,1,1,1,2,0,1,2,2,1,2,1,2,1,1,1,2,1,0,2,0,0,0,2,1,1,1,1,2,0,1,1,2,2,2,1
524777.9338,4987542.602,5,2,0,1,1,0,1,2,0,2,1,2,0,1,0,1,1,1,1,2,0,2,2,1,0,0,2,1,1,0,0,1,1,1,1,1,2,1,1,1,0,0,1,2,2,1,1,1,0,0,1,1,1,1,1,2,0,2,0,2,1,2,2,1,2,1,1,1,1,1,1,2,0,0,1,1,0,2,1,1,1,2,2,2,1,1,2,2,1,1,0,1,2,0,1,0,1,1,1,1,1
487503.6465,4916593.627,5,0,2,1,1,0,2,1,1,1,1,1,2,0,1,2,1,0,1,0,2,2,2,2,2,0,2,0,1,2,2,0,1,2,2,1,2,0,2,2,0,0,1,0,1,1,2,1,0,0,0,1,0,0,1,1,2,0,0,1,2,1,0,1,0,1,2,1,1,0,2,0,2,2,2,1,0,1,1,0,0,2,0,1,0,1,0,1,0,1,1,0,2,2,1,1,1,1,0,2,0
506625.9389,4996723.077,5,2,1,2,0,2,2,1,2,2,1,2,0,2,1,2,0,0,2,1,2,0,2,0,0,1,0,0,2,1,0,0,0,1,1,0,2,0,0,2,0,1,0,1,1,0,2,2,2,0,1,2,0,1,0,2,1,0,0,1,1,1,1,1,2,1,0,2,1,1,1,2,1,1,2,2,1,1,2,1,0,2,0,1,1,0,1,0,0,2,2,1,0,0,1,0,1,1,1,1,1
550025.6814,4997856.877,5,1,2,2,1,1,1,2,1,1,0,2,0,2,0,0,1,0,1,2,0,1,0,0,2,0,1,1,0,1,0,1,0,0,1,1,0,1,1,2,1,0,2,0,2,0,2,1,1,1,0,0,1,2,1,1,1,2,1,2,2,1,1,0,1,1,2,1,0,0,1,1,0,1,1,1,0,1,1,1,0,2,2,2,2,1,0,1,0,0,0,1,1,1,1,1,0,2,2,2,1
560675.3417,4936066.261,0,1,2,1,1,0,1,2,1,2,1,1,2,1,0,1,1,1,0,1,2,2,2,1,1,1,1,0,0,0,1,1,2,2,2,0,1,1,1,1,0,1,1,2,2,0,1,2,2,1,1,0,2,0,1,0,2,0,1,1,1,0,2,0,1,0,2,1,0,0,1,1,2,1,1,1,0,1,0,0,2,1,0,1,2,1,0,0,0,0,0,2,0,1,1,0,1,2,2,2,2
542429.8728,4931411.478,0,2,2,2,1,0,2,0,2,1,2,2,1,2,1,0,2,2,2,1,1,0,2,0,2,2,1,0,0,2,1,0,1,0,0,1,2,2,2,1,1,2,2,1,2,0,2,0,0,0,1,1,2,1,1,2,0,1,1,1,1,0,2,0,1,1,2,0,0,2,2,2,2,0,2,0,1,0,2,0,2,2,0,0,2,0,0,1,2,1,0,2,1,2,0,2,1,0,2,1,2
492847.9632,4906739.484,5,0,2,0,1,0,0,1,1,0,0,0,0,1,0,1,2,0,1,2,1,0,2,2,1,2,1,0,1,2,2,1,1,2,2,0,1,1,2,0,2,2,2,0,2,0,2,0,2,0,1,2,1,0,2,1,2,0,0,0,1,1,0,0,2,0,1,1,1,1,2,2,2,1,2,1,0,2,1,0,2,2,2,0,0,1,0,0,2,2,2,0,0,1,2,2,0,0,0,2,0
565828.2109,4959217.612,5,0,0,2,0,0,0,2,0,0,2,1,1,0,0,1,1,0,0,2,2,0,2,2,1,2,1,0,0,1,1,2,0,1,1,1,1,1,1,2,1,1,0,1,0,1,0,1,1,2,2,1,0,2,1,1,1,0,2,0,0,1,2,1,2,1,2,1,2,0,1,0,2,0,2,1,0,2,2,0,0,2,1,2,0,0,1,0,1,1,0,1,2,1,1,1,1,2,1,2,2
